,group,url
0,1011,http://feeds.businesswire.com/click.phdo?i=eadebf18f4d011b3c525ca904fa20f50
1,390,http://economictimes.feedsportal.com/c/33041/f/534037/s/4b989e93/sc/21/l/0Leconomictimes0Bindiatimes0N0Cmarkets0Cstocks0Cnews0Csebi0Efaults0Evinal0Einvestments0Eon0Escores0Efines0Ers0E10E50Elakh0Carticleshow0C49829550A0Bcms/story01.htm
2,874,http://feeds.businesswire.com/click.phdo?i=993a7d38242619958fca925d9fdd59e0
3,2528,http://www.theborneopost.com/2015/11/18/msia-eu-fta-could-boost-bilateral-trade/
4,411,http://www.business-standard.com/article/companies/hiring-activity-sees-26-growth-in-oct-15-over-oct-14-naukri-job-speak-115111800833_1.html
5,130,http://allafrica.com/stories/201511181276.html
6,2621,http://www.wsj.com/articles/netapp-earnings-fall-but-top-views-1447888148?mod=pls_whats_news_us_business_f
7,593,http://feeds.businesswire.com/click.phdo?i=ce63561b9eff4acb79b8a39fb6d5238b
8,358,http://economictimes.feedsportal.com/c/33041/f/534034/s/4b9a98ff/sc/28/l/0Leconomictimes0Bindiatimes0N0Cnews0Cinternational0Cbusiness0Chonda0Ehas0Ethe0Emost0Ehigh0Erisk0Emodels0Ein0Etakata0Eair0Ebag0Erecall0Carticleshow0C498338420Bcms/story01.htm
9,619,http://www.seattlepi.com/business/energy/article/Stocks-open-higher-ConAgra-Foods-jumps-on-6640730.php
10,2323,http://www.prnewswire.com/news-releases/safedk-raises-225m-to-ensure-mobile-app-security-and-quality-in-real-time-551361921.html
11,-1,http://rss.cnn.com/c/35493/f/676930/s/4b9bcc08/sc/15/l/0Lmoney0Bcnn0N0C20A150C110C180Cinvesting0Cnetflix0Estock0Cindex0Bhtml0Dsection0Fmoney0Inews0Iinternational/story01.htm
12,885,http://news.yahoo.com/montage-technology-raises-offer-pericom-442-million-135801915--finance.html
13,-1,http://economictimes.feedsportal.com/c/33041/f/534037/s/4b977177/sc/24/l/0Leconomictimes0Bindiatimes0N0Cmarkets0Cstocks0Cnews0Cegypt0Esecurity0Eto0Ekeep0Ebuyers0Eaway0Esaudi0Ebudget0Eeyed0Carticleshow0C498272590Bcms/story01.htm
14,2419,http://www.prnewswire.com/news-releases/wyndham-vacation-ownership-takes-home-nine-marcom-awards-at-2015-international-competition-300181024.html
15,361,http://feeds.reuters.com/~r/reuters/businessNews/~3/_z0N1nBaOB0/story01.htm
16,1705,http://www.cbc.ca/news/canada/saskatchewan/sask-government-to-sell-40-liquor-stores-1.3324290?cmp=rss
17,512,http://www.theverge.com/2015/11/18/9754008/facebook-fundraiser-charities
18,1830,http://www.digitimes.com/news/a20151118PD200.html
19,2071,http://www.prnewswire.com/news-releases/dr-pepper-snapple-group-declares-quarterly-dividend-300181406.html
20,1148,http://uk.reuters.com/article/2015/11/18/madoff-payout-idUKL1N13D32S20151118?feedType=RSS&feedName=rbssFinancialServicesAndRealEstateNews
21,387,http://www.bignewsnetwork.com/news/238651803/air-liquide-announces-deal-134-bn-to-acquire-airgas
22,9,http://www.chinapost.com.tw/business/company-focus/2015/11/19/451284/Google-searches.htm
23,698,http://feeds.businesswire.com/click.phdo?i=403367c00597601ef71504a91189d13f
24,582,http://feeds.businesswire.com/click.phdo?i=0274b0fbbe42b6eedb8c69af2cf84cac
25,1583,http://www.adn.com/article/20151118/readers-write-letters-editor-nov-18-2015
26,2324,http://www.prnewswire.com/news-releases/samsung-electronics-to-donate-over-500000-to-fisher-house-foundation-in-support-of-military-service-members-and-veterans-300180813.html
27,2604,http://www.vindy.com/news/2015/nov/18/unions-suing-ge/
28,1302,http://rss.cnn.com/c/35493/f/676933/s/4b9d1e49/sc/28/l/0Lmoney0Bcnn0N0C20A150C110C180Cinvesting0Csquare0Eipo0Epricing0Ejack0Edorsey0Etwitter0Eunicorns0Cindex0Bhtml0Dsection0Fmoney0Imarkets/story01.htm
29,2231,http://www.prnewswire.com/news-releases/mitsubishi-motors-makes-world-debut-of-2016-outlander-sport-and-2017-mirage-at-the-2015-los-angeles-auto-show-300180938.html
30,-1,http://feeds.reuters.com/~r/reuters/businessNews/~3/UcbX3L7NqoY/story01.htm
31,2168,http://www.prnewswire.com/news-releases/ituran-location-and-control-ltd-announces-distribution-of-a-dividend-551328621.html
32,1718,http://www.chinapost.com.tw/business/asia-taiwan/2015/11/19/451315/Finance-watchdog.htm
33,1882,http://www.ibtimes.com/after-paris-attacks-arab-nations-vow-combat-terrorism-express-solidarity-france-2189870
34,2559,http://www.thetimes.co.uk/tto/business/industries/retailing/article4616768.ece
35,1651,http://www.business-standard.com/article/companies/india-inc-on-track-2-climate-diplomacy-115111801317_1.html
